蜘蛛侠：英雄远征; 评分: 暂无评分
蜘蛛侠：英雄归来3; 评分: 暂无评分
钢铁侠4; 评分: 暂无评分
大侦探皮卡丘; 评分: 8.6
流浪地球; 评分: 9.2
何以为家; 评分: 9.4
老师·好; 评分: 9.3
复仇者联盟4：终局之战; 评分: 9.1
下一任：前任; 评分: 4.3
比悲伤更悲伤的故事; 评分: 8.0
蜘蛛侠：英雄归来; 评分: 8.2
惊奇队长; 评分: 8.7
调音师; 评分: 9.1
千与千寻; 评分: 9.3
速度与激情：特别行动; 评分: 暂无评分
小丑; 评分: 暂无评分
反贪风暴4; 评分: 9.1
黑寡妇; 评分: 暂无评分
疯狂的外星人; 评分: 8.5
蜘蛛侠：平行宇宙; 评分: 8.8
一个母亲的复仇; 评分: 9.3
复仇者联盟3：无限战争; 评分: 9.0
驯龙高手3; 评分: 9.0
银河护卫队3; 评分: 暂无评分
超凡蜘蛛侠2; 评分: 9.0
速度与激情9; 评分: 暂无评分
钢铁侠3; 评分: 9.0
名侦探柯南：绀青之拳; 评分: 7.5
奇异博士2; 评分: 暂无评分
进京城; 评分: 9.0
熊出没·原始时代; 评分: 9.1
战狼2; 评分: 9.7
阿凡达2; 评分: 暂无评分
绿皮书; 评分: 9.5
雪暴; 评分: 8.3
复仇蜘蛛侠; 评分: 暂无评分
阿凡达; 评分: 9.1
罗马; 评分: 8.5
战狼3; 评分: 暂无评分
黑豹2; 评分: 暂无评分
雷霆沙赞！; 评分: 7.8
风中有朵雨做的云; 评分: 7.0
港珠澳大桥; 评分: 9.2
前任3：再见前任; 评分: 9.2
如影随心; 评分: 7.7
毒液2; 评分: 暂无评分
阿丽塔：战斗天使; 评分: 9.0
地久天长; 评分: 8.8
狗眼看人心; 评分: 8.1
海贼王：狂热行动; 评分: 暂无评分
撞死了一只羊; 评分: 7.9
小丑回魂2; 评分: 暂无评分
复仇者联盟; 评分: 8.8
人间·喜剧; 评分: 5.9
速度与激情10; 评分: 暂无评分
哥斯拉; 评分: 8.3
钢铁侠; 评分: 8.3
波西米亚狂想曲; 评分: 9.5
死侍3; 评分: 暂无评分
恐怖片; 评分: 暂无评分
夏目友人帐; 评分: 9.0
天上再见; 评分: 9.1
午夜怪谈; 评分: 暂无评分
天气之子; 评分: 暂无评分
复仇者联盟2：奥创纪元; 评分: 8.6
钢铁侠：噬甲危机; 评分: 7.0
X战警：新变种人; 评分: 暂无评分
蜘蛛侠3; 评分: 8.5
南方车站的聚会; 评分: 暂无评分
最后的魁拔; 评分: 暂无评分
狮子王; 评分: 暂无评分
蜘蛛侠; 评分: 8.5
飞驰人生; 评分: 8.8
祈祷落幕时; 评分: 9.0
贞子; 评分: 暂无评分
小飞象; 评分: 9.0
海王; 评分: 9.4
大侦探皮卡丘2; 评分: 暂无评分
全职高手之巅峰荣耀; 评分: 暂无评分
哥斯拉大战金刚; 评分: 暂无评分
假面骑士平成世代 FINAL Build & EX-AID with 传说骑士; 评分: 暂无评分
雷神3：诸神黄昏; 评分: 8.9
叶问4; 评分: 暂无评分
一条狗的使命; 评分: 8.9
死侍2：我爱我家; 评分: 7.5
蜘蛛侠：龙之挑战; 评分: 5.3
钢铁侠2; 评分: 8.7
毒液：致命守护者; 评分: 9.2
冰雪奇缘2; 评分: 暂无评分
美国队长3; 评分: 8.6
超凡蜘蛛侠; 评分: 8.4
我的英雄学院：两位英雄; 评分: 9.2
白蛇：缘起; 评分: 9.3
新喜剧之王; 评分: 8.0
我不是药神; 评分: 9.6
反贪风暴5; 评分: 暂无评分
光天化日; 评分: 暂无评分
奇异博士; 评分: 8.9
比悲伤更悲伤的故事; 评分: 7.7
冰之下; 评分: 暂无评分
未命名的漫威电影; 评分: 暂无评分
地狱男爵：血皇后崛起; 评分: 暂无评分
速度与激情8; 评分: 9.3
动物出击; 评分: 8.2
永恒族; 评分: 暂无评分
蜘蛛侠2; 评分: 8.4
银河护卫队2; 评分: 9.1
泰坦尼克号3D; 评分: 9.4
追龙; 评分: 9.0
绝色黑寡妇; 评分: 暂无评分
红海行动; 评分: 9.4
美国队长; 评分: 8.3
小丑回魂; 评分: 7.6
变形金刚7; 评分: 暂无评分
蜘蛛侠：英雄归来，NBA总决赛：观看比赛; 评分: 8.1
疾速备战; 评分: 暂无评分
阿凡达3：带种者; 评分: 暂无评分
正义联盟2; 评分: 暂无评分
欢迎来北方II; 评分: 9.0
蜘蛛侠2：另一个世界; 评分: 暂无评分
宝莱坞机器人2.0:重生归来; 评分: 暂无评分
无名之辈; 评分: 9.0
速度与激情：增压; 评分: 7.8
半边天; 评分: 暂无评分
银河护卫队; 评分: 9.2
美国队长2; 评分: 9.2
X战警：天启; 评分: 8.9
“大”人物; 评分: 9.1
黑豹; 评分: 8.4
刺猬索尼克; 评分: 暂无评分
龙猫; 评分: 9.1
蚁人2：黄蜂女现身; 评分: 8.8
转型团伙; 评分: 5.8
泰坦尼克号; 评分: 9.5
海市蜃楼; 评分: 8.7
西虹市首富; 评分: 9.2
神奇乐园历险记; 评分: 8.7
黑衣人3; 评分: 8.3
调音师; 评分: 8.7
十二金刚; 评分: 暂无评分
漫威影业：宇宙集结; 评分: 8.2
爱情公寓; 评分: 6.8
听‧见 林俊杰; 评分: 暂无评分
恐怖快递; 评分: 3.2
雷神2：黑暗世界; 评分: 8.7
唐人街探案2; 评分: 9.0
寒战3; 评分: 暂无评分
雷神; 评分: 8.3
雷霆沙赞2; 评分: 暂无评分
大鱼海棠; 评分: 8.4
悲伤逆流成河; 评分: 9.0
悟空奇遇记; 评分: 6.9
星球大战9：天行者崛起; 评分: 暂无评分
大黄蜂; 评分: 9.1
美人鱼2; 评分: 暂无评分
乐高漫威复仇者联盟：重新集结; 评分: 7.2
死侍，黑豹，铁手套; 评分: 暂无评分
速度与激情7; 评分: 9.6
特别追踪; 评分: 6.1
最佳男友进化论; 评分: 5.3
X战警：逆转未来; 评分: 9.0
拆弹专家2; 评分: 暂无评分
蜘蛛侠; 评分: 暂无评分
前任2：备胎反击战; 评分: 8.3
金刚狼3：殊死一战; 评分: 8.6
高四糊涂生; 评分: 暂无评分
阿凡达5：追寻伊娃; 评分: 暂无评分
变形金刚5：最后的骑士; 评分: 7.5
金刚：骷髅岛; 评分: 8.3
阿凡达4：祖古骑士; 评分: 暂无评分
名侦探柯南：零的执行人; 评分: 8.4
终极蜘蛛侠之死; 评分: 暂无评分
加勒比海盗6：四海之怒; 评分: 暂无评分
青春期猪头少年不做怀梦少女的梦; 评分: 暂无评分
无敌浩克; 评分: 8.1
巴尔干边界; 评分: 暂无评分
名侦探柯南OVA11：来自伦敦的秘密指令; 评分: 暂无评分
蝙蝠侠：黑暗骑士; 评分: 9.3
鬼片王之再现凶榜; 评分: 5.7
最伟大的美国恐怖片; 评分: 3.6
忌日快乐2; 评分: 6.9
魁拔V; 评分: 暂无评分
扫毒; 评分: 8.9
正义联盟; 评分: 8.6
狂暴凶狮; 评分: 7.7
雷神成人版; 评分: 暂无评分
惊奇队长的奇妙冒险; 评分: 暂无评分
后来的我们; 评分: 8.3
偷心女盗; 评分: 暂无评分
环太平洋：雷霆再起; 评分: 8.1
利刃破冰; 评分: 暂无评分
鬼吹灯之天星术; 评分: 暂无评分
海王2; 评分: 暂无评分
死侍; 评分: 8.7
一出好戏; 评分: 8.2
蝙蝠侠; 评分: 暂无评分
神奇女侠; 评分: 8.6
你的名字。; 评分: 9.2
美人鱼; 评分: 9.0
侏罗纪世界2; 评分: 8.6
蝙蝠侠大战超人：正义黎明; 评分: 8.0
铁拳雄心; 评分: 暂无评分
情圣2; 评分: 暂无评分
